Year,Yearly Return %,Ticker
2001,3.0545572125654044,NVDA
2003,1.7420531526836889,AMZN
1999,1.2340805517920925,NVDA
2003,0.9325788197251416,NVDA
2002,0.7282708142726442,AMZN
1999,0.7004826703884622,WMT
1999,0.6723901621868577,MSFT
2001,0.5008130081300812,MSFT
2001,0.44482372121459146,BAC
1999,0.39388390404687795,AMZN
2000,0.38585068257051397,NVDA
2004,0.17831209936963058,BAC
2003,0.16164215686274497,BAC
2002,0.15748031496062997,BAC
2001,0.08337947071199203,WMT
2004,0.07969548038932253,MSFT
2003,0.04738235703999626,WMT
2003,0.047021146807645416,MSFT
2004,-0.0012478744994789243,NVDA
2004,-0.009922822491731044,WMT
2000,-0.04612431005519568,BAC
2002,-0.12388278986246577,WMT
1999,-0.1344065892923999,BAC
2004,-0.16053828658074298,AMZN
2000,-0.2194873213143657,WMT
2002,-0.22442467993459095,MSFT
2001,-0.31562302340290954,AMZN
2000,-0.6304657956115125,MSFT
2000,-0.8090797546012269,AMZN
2002,-0.8285975463074332,NVDA
