Year,Total Return %,Sector,Company 
1975,98.5%,Retail,Walmart Inc
1975,42.0%,Energy,Chevron Corp
1975,37.1%,Energy,ExxonMobil Corp
1975,33.3%,Technology,IBM Corp
1973,7.6%,Energy,ExxonMobil Corp
1975,2.7%,Financials,JP Morgan Chase
1974,0.0%,Retail,Walmart Inc
1973,-9.8%,Energy,Chevron Corp
1973,-21.4%,Financials,JP Morgan Chase
1973,-23.8%,Technology,IBM Corp
1974,-29.9%,Financials,JP Morgan Chase
1974,-31.6%,Energy,ExxonMobil Corp
1974,-31.8%,Energy,Chevron Corp
1974,-31.9%,Technology,IBM Corp
1973,-66.4%,Retail,Walmart Inc
